"","zhong","saunders","product"
"BRD3",0.466764131249853,0.20180370110096,0.0941947292273946
"AKAP6",0.347673757744801,0.269939774097657,0.0938509756253151
"ELAVL3",0.390551681205177,0.238229093464512,0.0930407729645504
"RUSC1",0.33728429802072,0.274280637246203,0.0925105521942613
"DAAM1",0.334581331865419,0.275733046873829,0.0922551300623557
"PPP1R9B",0.250440105976139,0.36583468976301,0.0916196784739962
"ZDHHC13",0.429301645390951,0.213027144246399,0.0914529035379145
"CTTN",0.409764150517666,0.221459588861205,0.0907462003037032
"TCF4",0.443103008033978,0.203560552822675,0.0901982932727868
"TTC3",0.370780017919409,0.241742796907941,0.0896333985694144
"ATAT1",0.365877682578223,0.238189510076954,0.0871482259613982
"MAPT",0.404465501258625,0.215272897634106,0.0870704604489754
"ADAMTSL1",0.333616355906335,0.259765167486531,0.0866619085682552
"DCLRE1C",0.282289456638521,0.305244458720097,0.0861672923940156
"NOL9",0.317633882584544,0.270894211893275,0.0860451802933411
"KIF5A",0.301052660605421,0.280198920571373,0.0843546305367789
"BASP1",0.353267771050457,0.237116420707426,0.0837655894227748
"CYTH1",0.28453518916608,0.293035423730551,0.0833788897235347
"CDKL2",0.250714846968161,0.329888789905773,0.0827080174777377
"KAT6B",0.365028892928358,0.22654040995573,0.0826937950496765
